z_mean,z_std,grp_mean,grp_std,row_mean,row_std,x_mean,x_std,av_ionrad_mean,av_ionrad_std,atom_rad_mean,atom_rad_std,atom_mass_mean,atom_mass_std,cal_atom_rad_mean,cal_atom_rad_std,cov_rad_mean,cov_rad_std,bp_mean,bp_std,rho_mean,rho_std,mp_mean,mp_std,mol_vol_mean,mol_vol_std,k_mean,k_std,vdw_mean,vdw_std,iupac_mean,iupac_std,val_mean,val_std,heat_fus_mean,heat_fus_std,heat_vap_mean,heat_vap_std,spec_heat_mean,spec_heat_std,ea_mean,ea_std,ie_mean,ie_std,p_mean,p_std,pet_mn_mean,pet_mn_std,mn_mean,mn_std,rsp_mean,rsp_std,av_rsp_mean,av_rsp_std,gtf,of,rho,Ehull,Ef,Eg
34.4,13.61763562,10.8,7.6,4.2,0.979795897,2.196,0.950044209,1.0638,0.373206324,1.51,0.561604843,79.38449,34.34837129,1.45,0.790088603,1.49,0.481912855,660.6,423.7015931,2.5954,0.644046458,404.398,259.6712291,28.856,21.16074252,39.272,61.94286606,2.142,0.645674841,64.6,43.44928078,3.6,1.743559577,0.05840968,0.021752487,0.4898208,0.462388701,0.82078,0.29075654,2.029558,1.657707367,9.396314,3.189739161,15.834,21.98829743,75,34.87119155,71.6,34.90329497,1.988,1.204680871,0.994,0.602340435,1.092506346,0.973952435,3.759,0,-1.662,4.045
37,9.797958971,11.8,6.64529909,4.4,0.8,2.244,0.90925464,1.0214,0.404668062,1.49,0.563382641,85.5111,25.59396222,1.482,0.792676479,1.486,0.482642725,854.8,776.6529212,3.7418,1.925066482,523.598,497.8939887,27.526,22.2344234,8.832,13.90584107,2.286,0.617401004,73.6,36.56555756,4,1.549193338,0.06773368,0.037582927,0.6804448,0.823392674,0.71258,0.297080995,2.10867,1.544766679,9.35387,3.214063187,15.594,22.05057695,72.4,35.40395458,68.4,35.80837891,2.026,1.208397286,1.013,0.604198643,1.243787434,0.733861835,4.025,0.42,-0.822,1.291
29.8,6.64529909,11.8,6.64529909,4,0,2.25,0.899688835,0.9634,0.292804781,1.41,0.406693988,64.94967,19.92860498,1.372,0.589216429,1.404,0.321533824,872.4,779.4668947,3.5372,2.153040492,530.586,494.9656238,22.526,12.65818249,21.632,39.29673289,2.15,0.379473319,74,35.83852676,4,1.549193338,0.06823096,0.036981549,0.7071736,0.824562182,0.81558,0.183721631,2.1146388,1.538474641,9.443222,3.063726294,12.39,15.69883435,72.8,34.67794688,68,36.51848847,1.902,0.977392449,0.951,0.488696225,1.109848201,0.733861835,3.7,0.001,-1.191,1.788
33.4,4.270831301,11.8,6.64529909,4.2,0.4,2.25,0.899688835,0.9914,0.346468238,1.5,0.583095189,76.02357,10.76072344,1.416,0.669345949,1.438,0.388041235,858.2,777.0730725,3.6724,1.995921602,525.772,496.9426912,24.49,16.35936918,13.232,22.58076208,2.206,0.473015856,73.8,36.20165742,4,1.549193338,0.06794088,0.03733031,0.6949488,0.823597038,0.73698,0.260142756,2.1115288,1.541744733,9.410516,3.118407658,13.17,17.24130506,72.6,35.04054794,68.2,36.16296448,1.984,1.129346714,0.992,0.564673357,1.17450852,0.733861835,3.804,0.144,-1.06,1.247
37.6,9.1126286,12.4,6.311893535,4.4,0.8,2.316,0.864606269,1.0398,0.389062154,1.48,0.565331761,86.26217,24.72614659,1.458,0.790250593,1.456,0.492243842,1025.2,1106.094824,4.0294,2.486201247,565.398,581.4662425,27.374,22.37399169,25.472,35.58912553,2.122,0.659527103,75.4,36.11980066,3.6,1.743559577,0.07602168,0.053209848,1.0078208,1.467468515,0.70578,0.302685919,2.343678,1.267738691,9.395026,3.190446793,15.074,22.22051539,73.8,35.02227862,70.2,35.15906711,2.018,1.20721829,1.009,0.603609145,1.173283156,0.838052095,4.407,0,-0.958,0.821
34,3.098386677,12.4,6.311893535,4.2,0.4,2.322,0.854035128,1.0098,0.329783808,1.49,0.585149554,76.77464,9.293879198,1.392,0.664090355,1.408,0.396302914,1028.6,1105.866104,3.96,2.549301395,567.572,580.4953567,24.338,16.5206518,29.872,37.90345968,2.042,0.501294325,75.6,35.74129265,3.6,1.743559577,0.07622888,0.05299933,1.0223248,1.464344189,0.73018,0.267147415,2.3465368,1.263523025,9.451672,3.093307655,12.65,17.38577004,74,34.64678917,70,35.53026879,1.976,1.127787214,0.988,0.563893607,1.107931328,0.838052095,4.232,0,-0.946,0.479
48.4,18.49972973,13.2,6.209669879,4.8,0.979795897,2.4,0.841165858,1.1164,0.359040722,1.57,0.573236426,115.96349,50.0239767,1.468,0.790908339,1.5,0.480666204,792.4,658.9086735,4.5158,3.445785623,339.92,131.0799666,29.708,20.62440341,14.272,17.33547392,2.2,0.618514349,77.8,36.07991131,4,1.549193338,0.05026672,0.014892103,0.5934208,0.655749996,0.64218,0.375459481,2.185278,1.443530401,9.350398,3.216143937,15.074,22.22051539,76.8,34.95368364,74.2,35.02227862,2,1.205338127,1,0.602669063,0.949271466,1.27180068,4.781,0,-1.316,2.889
26.8,10.08761617,16,1.549193338,3.6,0.489897949,2.614,0.523129047,0.8408,0.082908142,1.14,0.08,59.751708,24.73371112,0.976,0.104613575,1.172,0.061122827,901.174,957.1520721,2.804,0.452265409,423.846,259.195483,16.974,3.855975104,47.113,93.94350577,1.838,0.019390719,95.2,7.756287772,4.8,0.979795897,0.06180776,0.029462179,0.7193984,1.158214566,0.89018,0.094096448,2.5201394,1.156491107,10.357442,2.257190551,3.77,1.516113452,93.6,6.97423831,89.2,8.541662602,1.275,0.203715488,0.6375,0.101857744,0.624885062,0.996602492,2.611,0.392,-0.565,0.199
36,2.529822128,14.4,4.715930449,4.2,0.4,2.606,0.52746943,0.8964,0.0632,1.21,0.12,82.315676,5.307958478,1.166,0.408489902,1.292,0.174172328,1394.2,1827.553381,4.5498,2.115063157,808.28,974.8745692,17.318,3.495279102,10.976,21.51255782,2.002,0.279671236,89.8,18.0044439,5.2,0.4,0.1027712,0.087453129,1.5755488,2.786787961,0.68562,0.32098361,2.6009468,0.999764328,10.390532,1.983608475,5.724,4.995788626,88,17.60681686,84.2,18.74459922,1.529,0.616379753,0.7645,0.308189877,0.635128085,1.147225368,4.019,0,-0.847,0.733
44.4,11.72348071,12,6.511528238,5.2,1.6,2.168,0.977412912,1.1376,0.361922423,1.58,0.577581163,104.59549,30.7403749,1.636,0.873283459,1.604,0.515736367,803.2,679.1071786,3.7184,1.879784945,488.798,428.3253493,30.052,20.44414674,9.872,13.984,2.37,0.6610295,69.8,38.60777124,3.8,1.6,0.05799528,0.021155759,0.5872048,0.643905596,0.65598,0.357089084,2.145678,1.494756795,8.995786,3.495430432,19.474,22.32442841,66,39.69886648,62.6,40.08790341,2.186,1.274638772,1.093,0.637319386,0.901628107,1.39184598,4.45,0.088,-1.643,0
